125338	America East Women's Tournament . Women America Hartford tournament 's East
77051	APEC Summit . President 1996 Fidel Ramos APEC philippine V. November
73238	43rd Annual American Music Awards . 22 presenter american Angeles California , Cantrell Theater Los music award 2015 annual Microsoft November
124636	Invitational Championship . 2003 Championship Invitational
95399	59th British Academy Film Awards . Writers Film Dillon best Guild Howard critic Association 2005 Broadcast of America actress British outstanding motion Academy Spirit picture actor Newton Independent NAACP Awards ; writer
111869	2010 Tejano Music Awards . 2010 Selena
112068	shooting at Aztec High School . High New student shooting , William December School 2017 Aztec previously 7 Mexico Atchison
88890	2013 Mashkhel earthquake . 2008 BRSP 2007 Pakistan 2013 Balochistan earthquake Ziarat 2010 flood disaster
118684	America East Women's Tournament . Women America Hartford tournament 's East
123328	third conference .
111228	2016 Kids' Choice Awards . actress James 2016 2015 Actress Lily Cinderella
64785	flood . June 14 2015 flood
112952	Finals. . 2018 Finals Fajardo Philippine Magnolia Cup
9719	Ivy Mike . 1953 1 1952 Mike Ivy November
123868	14th Canadian Folk Music Awards . Singer 2018 music award canadian folk
102692	1967 Cannes Film Festival . 1967
102931	Miss World 1974 . Mundo 1974 Miss
108339	APRA Music Awards of 2001 . APRA the Awards year Music 2001 Jesse Hooper Ella Songwriter
58478	46th Guldbagge Awards . actress Alicia Vikander
76579	Missouri Valley Tournament . Iowa Valley Missouri Northern Tournament
119708	46th British Academy Film Awards . actress British Awards Film Academy 1992 Tandy Bates
114877	WAC Tournament . Seattle State wac tournament Bakersfield Cal
52114	2005 ceremony . December Awards 2005 month 2004 Raspberry , two Golden 21
86574	2001 ACC Men's Basketball Tournament . acc basketball men 2001 tournament Duke 's
85961	New Zealand Film Awards . New Chicago Film Washington Lisa Independent Zealand critic Association 2003 7 Gerrard July
114699	ASUN Tournament . Lipscomb
47384	6th World Science Fiction Convention . Convention Associated Publishers Fantasy Science 1948 World Fiction Toronto president
96564	December 2014 raid . Haram Cameroon December 2015 attack 2014 , January Boko
115616	Myx Music Awards 2010 . Awards Music 2010 Myx
105592	38th Primetime Emmy Awards .
95212	Chicon 2000 . Chicon 2000 1999
122821	G20 London summit . 2009 Stability London Financial April Forum
124000	Bolnai earthquake .
122610	Vankalai massacre . violence
68205	Securitas depot robbery . 2006 Securitas robbery February
20114	a coup in 1975 . 1975 Rahman Ziaur Jamaat president
36933	Great Flood . Flood March River 1913 great Miami
74089	KylieX . 2008 Allphones
119108	2006 MTV Movie Awards . 2007 2006 early
118481	1971 Scottish soldiers' killings . 1971 February scottish march
99531	2010 MuchMusic Video Awards . Artist the New Hedley year Bieber 2010 : Fave Justin UR
124353	Miss Dominican Republic 2005 . 2005 Miss Universe Dominican Republic
60212	2015 Big Ten Conference Men's Basketball Tournament . big conference 2015 men Wisconsin
104449	fall 1970 European tour . Harrison George fall 1970 Stones european Rolling
66612	ACC Women's Tournament . Forest Wake
122613	2006 Digampathana bombing . the decade 2006 attack bombing
125480	WAC Women's Tournament . New State Mexico
77019	General Service Medal . June 16 Canal Zone Egypt 19 Service Suez 1954 October 1951 2003 Naval General Medal
122626	47th Tony Awards . Louizos art December 1993 year director Broadway designer
83275	Donnell Fire . 2018 Fire
115236	Patriot League Tournament . League Cross Holy tournament Patriot
48638	Herero genocide . Omaruru October 2007 von genocide Lothar Herero Trotha
118783	Big 12 . NCAA Texas
110223	airstrike on a school bus . 2018 U.S. Lockheed Martin , - saudi lead August Yemen
99302	Haakon VII 70th Anniversary Medal . 1940 Ulstein war british 1945
116443	2018 Big Ten Men's Ice Hockey Tournament . big 2018 Men Marody Wisconsin
112378	11th Africa Movie Academy Awards . actress Movie Angola Awards queen 2014 Academy Africa
109134	1992 Staples Corner bombing . 11 Corner 1992 Staples bombing April
99049	massacre of Polish civilians . 2008 Naliboki Craig Poland Daniel Tuvia polish align - soviet
99526	Toronto International Film Festival . Festival 2007 Film Toronto International
49111	Norwegian black metal scene . celtic 1991 Bathory Frost norwegian
90957	2005 Indian Institute of Science shooting . 2005 Institute of Science shooting Indian Bangalore
111666	39th edition . 1982
95205	Prom at the Palace . Roberto II June Elizabeth Palace 2002 Buckingham Bolle
111974	10th Lux Style Awards . award 2015 2013 Khan style 2010 lux
80287	Beirut hijacking . 1985 warden hijacking Beirut
100616	1988 Nepal earthquake . Arun earthquake basin Nepal August 1988
120328	13th Japan Record Awards . the Koyanagi Rumiko year Japan Minami
110937	2010 Big South Conference Men's Basketball Tournament . Big Men South 2010 Conference Winthrop
91286	Erfurt Congress . Congress Alexander October September russian anti-french Tsar 1808 Erfurt to Napoleon Russia
111414	2011 Missouri Valley Conference Men's Basketball Tournament . basketball Valley Missouri Men 2011 tournament 's Conference
